"follower","user"
"40982390,748974107543408640,3192618236,345856956,3439583413,30938104,311983317,54716879,723352135,560714477,551246113,527846889","15600341"
"1427927856374505476,443781651,2983076409,36365539,1241250514806898688,1237037794045894661,725618158401253377,1438890768429686787,1426956813304438784,112493749,1434003721449521154,1308291526640902144,943968514184015872,1374524800849285120,781589123056500736,3239048717,565988014,20900029,1311153422696173571,237153553,1377594724840833027,327463863,1131952429216534528,43897407,785542902969753600,1312370368720535553,1366721557893165059,1438511917,62640737,1204445607978569729,1305914191447031811,1355200296452935687,1353943276747943936,771725937268359168,1308007529679527936,842320048928751616,1074445685855055872,960029592802287616,1045879902975741955,1341610209291210753,1238281841444077569,941387884405202944,1333284811734093825,2996291294,1411975388,1327042697501184001,1313603902932164609,819276424758624256,735486338,153846475,432802664,4528645342,1297278664971898885,2203223402,2310875344,756615970194616320,1227687920187867137,254644434,472341161,3507412103,941251458418098176,970203270101786624,106205259,1166542782330265600,1204079586176356354,1247683142716215302,481312317,799212737188360192,1072936563619889152,3308290697,394320812,1170440246745583620,1156203400721305602,229987806,1146526761200566278,169502546,42262752,1097468046967431169,849172295868338176,16795994,149289973,536851957,4107338039,22834340,4874716671,1585959120,1093162619974942725,1091575010878242816,1537584486,1087410454509449216,780894295393988610,70103218,916292358601433088,1005518992625332225,1059931103618912256,2463366379,119042134,1201707284,999853017926111232,925893909636579328,1033413773015506944,2891624733,2360157302,1022152142466031618,381563274,3053325117,1010612317095104512,1006909968849756160,575636794,2507111502,4568401212,739911237211983872,17894476,4885347312,15391896,972379642148544513,391039308,964060497963204608,3226466775,872215610272358401,887715145119649794,330084707,4780192817,835436939591442432,239452560,943527148261961728,3182451390,229105361,405250379,900832340821278720,20275809,3251766915,867475009039499265,909145654043172864,771374238947241984,430488603,18775404,908412837617438721,3932170813,902271690977284096,23780038,883112864046862338,123353418,784231206275592192,869546712238481409,76387070,43119695,777199434245472256,859768988108288002,868241504027811841,857197695727001601,60694237,866884661535940609,16065980,181854200,2163634058,851473003330232320,798997401662935040,2329253131,740638076377137152,248795646,761017092464181248,844959219514298368,1866293100,772994428730388480,2528031056,4787078554,759920088,3353737102,16931433,718375233028296704,84113155,4423143497,1621127264,27687783,824642649067966465,3308061194,114757825,781559178439462912,734204077,1964303102,333569037,22458458,803834811311943681,2289918030,792079039049576448,1648180610,748515166279577600,795125272047517696,792841717640732673,2987265317,188434971,15455705,784093476711432192,2160966338,1206681799,3236204367,1356942170,725418490379771905,4885157785,3114836571,65154490,2304023321,3672384258,3186855132,3279291415,36989577,718125323649331200,3021082035,1321134762,16183006,709935544063627264,3432133516,540210196,4764845072,4797253593,4266072783,438669311,2316843056,355745323,38674242,1223600953,803105742,1137408992,250641756,216403092,344143336,165329100,110006772","4924871554"
"1479312908504866821,718219054897569793,1279116692,305540113,729063985069203456,1632034166,263624416,2564551298,415991435,4152709402,745614546203705344,945714127250616320,1362461959359258629,1300915371751301121,827537725079355392,1068394309,1333851801196478464,4077998859,1483547238,1317478437599195137,1167802187038240768,1145491454460145665,234815990,1296862654330355712,1253049409744580608,913944716466688001,1218553157950877697,2357588917,1254786974763737092,1224882107434065920,1230313767570944001,1669404572,1253553727,1101221932911992835,315380974,3027533166,779787240,1009121248599789568,1216097051861307392,1412311526,701564111604293633,263674119,1179640859819728896,3145903809,1193714627437375496,895475498310086657,1185026184209424385,876804631,2409985730,1186465998192414720,15801420,4790110696,18763669,373106593,3299737729,804692405538738176,1720483766,1135961529638105088,1172332166107131904,1169323156278075392,1064608789436030976,1161493710888198146,19056047,3322792861,1156373881525035008,1884423637,156473538,1139200852642500608,130279594,561236886,120844245,1065457540828471297,4367473513,470762756,1111242393825804288,1131027472047386631,1120009070847700992,865679283561299968,3730104317,2839229665,133780648,1096876622,2574538877,2167435472,1090964567503581184,4106295377,1098579602258231296,976241220,1046393251455012864,1644047556,1045790387409956870,2966184189,174268495,260421298,894241007532990464,929405254038425600,3261099978,1055226932428591109,917215682,704144238905196545,124313449,1097627457757331456,323676031,763822989783752704,49724210,2179638489,732382009822199808,1088143520408293376,1085497401442353152,75375190,1078809112287166464,757995974254010368,768216442852544512,3798373765,250266064,729717819797970945,240841639,3840397460,921029723769262080,38053169,748906531127603200,19264842,16519380,20531154,1070597052630007810,1069100326588825600,788166474,2537042815,911701681,3084423112,3327235908,849923532,1048299520243781633,157094473,948592756884234240,838099624082698240,1039872339729674240,925926476079353857,1057651628348715008,1053347490639028224,67118125,985621467508293632,584279206,1022145777873940480,605490858,410473763,4365710956,2801204176,1977007362,837332688365289473,2212887201,947127736669278208,1026369687771275264,1038893105808859137,1033127261510098945,766106869890940928,1028871764682584065,784996434,930736511519285248,2754847929,3262667474,1023829067689222144,1255703970,334444115,33814499,770334484847878147,740933645221826561,968125358296981504,3502061475,2941102612,3580215142,834764071794798595,1022180904263995393,1021970601483874304,970509216774541312,1390319582,4827186013,15845514,36277561,211856566,3073446225,32811207,1011306959356682241,856668758118739968,539038143,2696902803,1237904102,822285327876255745,361311649,902643145447538689,3107521195,312854989,843841524886634497,62842542,819653016156413952,1006701975466135552,2241123415,54231832,884494875516846080,3016867982,2861722264,1607450461,892481995,707684445189353472,803736364738977792,159718188,4814298933,936730916025749504,576750037,879728168369836033,362711176,519252045,2228558186,994239737748697088,3253390984,2309017747,2189248514,914971236106739713,1747554630,973684258744217600,3101929277,621801956,842297826080104448,33184439,975932647024222208,927298456800120839,2951359265,983976871279775744,2891357315,793950370842087425,2762956015,984436339780280320,611199435,16476546,169128720,824780638213505024,815637375703392256,18341786,470279945,938369574730371073,409371254,89533702,58257664,971734234149900291,2334499908,974696766137188352,956471614354444288,969008785841733632,730237367097794560,426510158,10188152,3316582025,2527720152,182194049,1146874986,951813677526736897,812697972047626240,145889612,285732506,1034354328,969321190857822209,912674149486690305,2408914969,4452330202,1110159193,319294242,89545649,968234096672600065,4893100004,810914124288954369,70340863,14645160,867366998,904791081233076224,197549211,786874889022177280,951953646178263040,856597392895860737,927003306634838016,956583534965207040,3234463812,909410381134684166,3169209138,2664799819,2872659972,264350732,19270954,956617201146097665,721314859,19002460,957264339270029312,735105513088778240,2426943014,2822402954,924694246715809792,2788579099,783701638729109504,943929197273210880,419994195,942789645649219584,365480435,811789964,1722317046,766625922321559553,574860050,754008094464704512,1313849245,904318798295179264,929470343164686336,44116039,1070976300,1951765974,824333945605066753,1410770660,946490511879294987,526776733,175233109,3037265785,700530937600192513,416983748,1544318040,921890300821495813,937622923115761665,946353178127187973,312147788,762651796460466176,701588652577546240,2803652683,3066542901,42763729,16376595,935174488056107010,122162103,146514182,17673936,2892162954,375621233,877552468221194240,1566329018,303734146,873005593308663808,21614794,302142811,422068953,621053435,806871985,899776172216786944,931013741235376129,784926697778839552,858015043602042880,2149568726,927640639541579776,1945932451,790936496,6529002,863755585539330048,220557596,108440577,18870989,791030867888107520,562559599,175629579,891773488423456768,1423983769,364404679,2859786382,169221669,2205388728,436286644,3293514136,519071841,608180699,3014484094,2751115087,35287689,2741185683,907360060501889024,878284928240295936,917136329816924162,619153807,4177135880,38239688,876089130287063040,846293764977000449,427947365,914562622804160512,913692497318162432,772986934356430848,267228630,800371062,860845446,906564044601135112,216844011,908047711647264769,477361494,911269291290501122,4204211807,90855644,909023999367290881,753219305504960512,1671573955,3069626611,3761531416,463384474,2598374154,897795267050733568,85903882,426793995,28528262,3180910512,2728521153,348941577,2493238878,2648535199,408201618,792750348624617473,3978566486,904787269130866692,843978884072714240,3033212033,1139914525,848954380791533569,707629474980843520,837775854310653952,1433741887,900526554488295424,1596366906,900899194566791171,867722871094865920,2595826916,88816329,3143703785,898790828390404101,798287742455205888,41643161,882579178117361664,102391311,2421021414,562827135,750476870,33207582,69357216,879741337859379200,30029760,703013635753283584,891826271847677952,3416209888,820763549014392832,330641593,716939897387540480,842136512,4715615588,884495113090682880,869362848404652032,63656446,3168802238,834807428428529665,3400511531,3422603273,4921219864,14565904,2661071702,538097696,798177851912704000,883417965768704000,185256682,847741300203896833,885043385488297984,4139649566,2482500352,50172637,137814517,883655749418831872,202318994,23278248,45679047,196790724,32775202,733767688540041217,786351646674530305,1512477266,881252125417889796,881919307898380289,195207013,22731171,20151462,2280348596,2367693487,2744923418,26928955,542183944,875531743008219136,190070853,97917135,545426509,4016021453,39313993,464203386,17023184,795400941579046913,63750402,31552145,770358595049299968,2439242221,3526751896,2541805316,3145723957,542734160,3360549111,866790849476046849,809491955977715714,734513796979535872,790955377881853952,25104283,539437975,4789175569,9572932,869843943965339648,812828551,373676318,2566323025,2327899968,303490995,2653712415,1353324907,1167508754,7486712,751429685230374912,193510313,67865543,743621806049923072,2651525912,874677052712124419,1502727182,2707302440,703977029956456448,720400352772632579,1912389138,2432283122,2412919860,776401412,866383783532036096,17168000,17351008,862736540094672896,482702297,3326502561,1046823919,838128598632529920,2250606774,3600620956,755420888783204353,707668732194263040,2997062513,4712927456,2348645682,843664266980941824,3706075214,3609553581,978681956,852480381110681600,543772349,353850802,824604695331274752,829348214847438850,847923250885783552,846592904047013888,3109610102,849199496886136832,4096777763,792995317113290752,617057881,3051755166,767448806971453440,522640447,725455850899304448,3046321314,807629218519490560,919624309,774239972492574720,842710700137046022,3283701379,201998106,1561965668,822125587493978115,826870543416692736,844625618889170944,821379694549487616,812126726545428480,10829652,768718409907437568,843650457356713984,809497767987085312,838923843456544768,242879160,842072935229718528,842067215692238848,1615699639,2848921887,4852400070,1617017971,783650583613935617,3289419420,3817108456,3303072108,838728987799076864,3018726223,839221481766715392,19050005,750471516077252608,24113624,746755877617577985,803367768632524804,26622430,4519812988,833149696218509313,738062989643808768,820408365499060225,64511941,441331883,851435316,273786289,823998585247186945,111391484,3096608429,1733836675,1628365352,19927012,1326226429,2287609658,20164171,2685740474,455055611,3330569354,790698391466565633,45040228,3246790897,826919291375218691,819991549932994561,826554772635344896,706554760166404097,15632680,2169014442,824999697135890432,27390339,1648562040,3384441837,516117442,527026882,793171155335208967,2752526980,23171154,808438634504392704,176771835,1561001352,15018004,2413262696,600932414,549527870,795368326243487744,26273748,1616479344,3145114607,989093120,2337389724,42602780,908580181,1018254805,215895297,121861357,1276591105,176671730,3857917581,64242217,4804756520,803374304536707074,800567079602487296,2484445454,744165361134764032,2379772690,55250547,3816190572,1592139283,1978162009,4081883834,1012460306,858573746,494254095,782115474087829504,770085732643897347,63222782,710921347615035393,4882188345,173623517,370730334,740303816902508545,2355790525,4621921456,1683466044,724354119339794433,820111718,868226311,40720843,710579199073918976,634759324,2537034628,753205299088093184,59541361,788819189754503168,798156793608359936,2332871198,34257744,2216592008,486912985,723647863,782867098284462080,4916128373,779215152877015040,738963305419640832,719539651233460224,790455201253593088,2234101452,403116484,795032441413058560,4238419393,1074928104,2926140585,779406232541073409,740876282678759425,4143502408,3789381313,488167301,2580089826,2747488950,746406783934046208,706836675272548353,1526598470,793340036955635713,13289952,746147641159987200,792551975179079681,2334258404,4399586428,754282227001733120,4367585483,791359306994155520,4482722007,1352040151,861805698,15788505,174370682,301039736,1321524278,1857876097,3333222495,3377417837,724007553047228416,1922683310,3127919657,761259702260858880,779151165573521408,773422958979219456,3091308911,625627418,776460730652565504,29030008,710453476371791872,785344298522816514,68899357,767706883268501504,750481156072611840,784564234164338688,280693341,779710737430249472,767075782757851140,2690992375,21063506,46882873,780765213876367364,545823350,25495932,17905508,773810566544629760,7237532,109047122,775416288881631234,3240397234,488547423,874173582,718164012928602112,3317739650,3418653312,710814327574556672,17070707,72048893,636517538,742497856133562368,3313941377,105018851,558195608,1344402788,2600424666,2208121318,25207164,755088074959425536,4870240710,361623791,776218437613858816,891503012,231924930,775586069391609856,342491383,4685176178,1872538087,74735448,3237224641,19012822,753655511581597696,3341428827,1072416566,29886784,48915898,36773792,3091540315,6219562,750767656563769345,89625316,2785080169,324914899,714612160744153088,2616401366,710128555909369856,761143674277236736,718562103129284609,433796034,26340590,3103697340,2309070512,35361400,769410200952446976,273137460,717392843984216068,3532702697,2759053022,268070225,1735580114,2910480597,224762335,2573459215,29277616,746024054260273152,381073617,1931918030,1330463096,4881941229,3144890652,702310355309965312,335915844,62538615,328224491,2421590010,732257752991424512,766045774266429440,50323274,746411886552309760,739870281691496450,278505714,765365704333885440,765227838253387777,2863066548,764877953909923840,1485233162,2440332841,3040994705,333054142,723863766387957761,601581785,3803164905,2570693797,1207072010,2333804342,259836274,2719242059,3300978018,2823742397,90587880,4901370880,753713190546972672,11216022,2725647706,761235591753240578,210684204,200196660,612803736,18453558,2701989602,23959413,755757868964536320,4329428777,759840070727823360,352451652,3472747515,3322641060,486103753,15840735,2310462405,17084888,1066666147,2724105266,610996340,139868658,272065285,20891450,447484534,2713714057,94244609,3900270863,633450726,363217813,746743570888069121,25001895,729999793313976320,132569367,94939499,2329177044,755089628986769408,197560548,3094949373,3352406205,704090021574213632,4892108975,495519949,3302789948,3252928146,2559496870,2333922122,4370930664,634875379,2192378629,2181395065,3297882253,4552768995,753705600337391616,753345302929768452,566045331,2896841402,3399583085,299403550,3141283281,41363274,19180758,752793927434907648,3320290237,2707256220,3079678499,749379278098337792,3405186434,3233982195,744906552071561216,97862103,2898369942,37158081,2387072300,62337419,246665311,708045594,4687231596,88420666,249509421,2687772624,59056427,2600180815,589838764,733191124274159616,59105914,3179216410,3099593342,633892762,718123059,180130665,3299606455,2444565277,1973299597,345377766,560004693,2732921198,375019905,3320637392,1217969412,2176632721,3323895110,23142317,4871390049,2400930913,232979681,755243832,29655018,3382073409,353414062,3166080268,360446057,2786550627,1287343238,2430995557,922195370,2651569436,511340957,2310349423,2385066588,38773785,891377682,302119005,3168934794,357727162,1618700149,4726483894,55708554,80889786,15738073,288224125,4482902723,142692874,1637130961,2550996643,1101780642,3242585702,25191151,3848428034,1663699411,85589214,406013931,2533410002,2374424191,317928282,902343080,2273599771,34342722,254368414,602855404,5550062,630722949,455513301,3386308818,743867441076387840,726873911460134912,2766725447,339515882,2878218279,3139024127,66581253,2424921340,1909025282,20417779,16337697,1938444438,1374799134,707788187008000000,748622108863922176,21613890,3634482809,2341002511,6430472,4580095214,3011907865,745059104490586112,2906458236,4112996897,101938691,16320083,63555839,740719424177508353,933725737,331002056,1710332772,70781797,946067455,867219696,2318947219,52017728,1540874251,740500177396473857,59134765,4670905038,743381982424424450,3151239857,340489094,743176688092078080,747489339043614722,108097126,238677580,748702417902931968,607280726,310669342,2948243080,220860437,4859947154,938016032,749752461611536385,578163107,177342960,23407948,343847463,1939666801,2596909040,750074746994237440,24852558,36758101,440124698,1689225072,748577734276808704,2857754855,377021039,15056868,2829428812,2786497238,451190193,2639169817,354024681,705170252594868224,2732521058,256621958,228040559,463463794,1463047753,747866053733031936,79058600,3599953755,3620556454,2349163080,728788398648008704,3684869928,729489952803794945,2434266805,546268173,18825537,1331864366,3248617522,634292143,54354116,4870823232,1547052972,4141875132,739388228,346788270,2912940271,724600758683967488,718953749813846016,746363798475276289,2968245152,746166751591727104,2534479132,3138425305,3260140891,2667121629,104692165,3853761796,746462348051898369,442748381,4287238222,745089013405581312,4827781366,33184994,2922937769,739631712636964864,34434917,3195372858,3241543392,259870362,2982830561,623157527,378744597,741429555513184256,54624571,716103487033974784,1592943966,347302180,4276271008,29206490,397278303,1170276218,2428477945,3120091846,1855075141,1594225147,445606416,3348991994,712994860412903424,12483122,357025385,4313682373,1219471314,87269548,12748572,554853431,1101487382,2483117419,4405457053,1665904176,2803876134,3689622321,1886676410,722503953108365312,3328782853,2842934642,380660216,710595322309959680,131013848,1247787415,2868385149,2375830207,2795199878,3034138149,18457641,24887015,4899659116,15124927,2587604514,728333818961141760,48165980,2815282544,400942102,714911235058196480,36912898,2279717575,3730594452,3153378712,3170830472,1139467579,3121568986,3037114617,2674756628,727142819954065408,278972659,59553664,2473323492,2981100510,707838584586248192,47802286,1672269284,719373583,15451960,813135594,460661370,2892144533,2861829177,708618317041373184,531534213,3309893689,3597868095,147194310,722095551118839809,718197161108877314,179087969,3496318332,54266542,1062090949,2875270251,1596179059,1730802900,604584736,55336780,717701474302758912,42139404,717125161841872896,2587993729,19372274,3008882862,713700346619568128,49697866,815664984,817053648,3327100825,1064922301,460406816,793683902,712815388107509761,14118746,2334788222,346939426,2492224692,3843298932,700881312790384641,1598704897,17579605,538926991,2306809352,543477727,19034408,431702813,286892803,4484129530,4236506986,703735344504676352,709795231064051712,2462228301,22977590,28837012,94308449,410227480,395463495,829721714,17529492,21397523,4827520109,4344092199,101599411,2834622024,2782637635,2868415162,1467432157,1478837376,3173001400,2411512039,39824724,1117667587,25697862,815557454,15302322,3163071160,27169069,285973967,2198394690,706863366539767808,2981662425,4895166118,3285885294,216109555,124040008,806516552,12913712,4125830833,2886648994,36898349,3121224178,3028074327,1575952254,4890938981,3195470964,232603412,259878262,240527238,89263982,847399472,23814999,2854329679,339640500,2504398849,1957263966,348414917,908147624,2952159550,4860770319,1957767356,4118974820,257957288,38685767,2831980734,266174850,2387058476,14767798,1693643977,337340969,409399123,3851169387,301030629,381042390,314140359,483271333,335667311,2581244206,3428977197,3728654303,64040164,3001933822,822761617,928526216,2801734892,1583235985,56903815,300443039,3460959442,1413366198,27990727,3030981862,499846759,55135988,3420269650,2998662848,3351367060,172005464,224811897,262430206,4799551233,1688476070,2404905984,1073313384,25488969,3257470939,3279907796,20920473,2414275616,2235301647,97492228,11861862,187556435,3020572283,576999101,2253365754,2439698929,711641918,928384303,286780392","4818852351"
