"follower","user"
"1044029413766180864,383503646,1068248729810014210,3437144813,1037037029106896896,1033200837743595520,1033161081940791298,857222069439909890,1022469141134041088,1699462380,3829490566,4058269756,2212756877,902598088803700737,38750413,3548227577,182886668,971494421538725890,952883817861337088,948094955129589760,710998407079403520,903334356147679232,901993925535260672,2761981013,393209086,3302989089,843597463894315008,1246330706,261419635,811308359685128192,1407972804,539553548,783482253716389888,53848598,771679863413563392,1489364552,715561847009587201,971029442,838521140,203345318,734204010136227842,712255943262732289,1964669839,700956776703856640,1656404790,827544751,281760480,781095696,783770966,2383581862,712076234914668545,706515575124709382,705402066701713408,2547028628,701654246098251776,700621562370768896,4861276587,383019778,4784599452,4731247703,2788268128,4656334343,842560044,398361333,4109216362,4011645147,2594036670,3949429816,3942643635,3045442383,3654281303,3416036969,3303034911,3313361548,3280252976,3378651166,3356100575,797110141,3347928207,3342394822,1100758531,2551127320,2311039154,3300778535,3306286798,3301013897,1561497392,3294017249,2782829354,3220300038,1593044508,2170317884,3187969484,3192109853,3195892583,2943296626,3078025314,3124605117,2859120337,546380658,3048046518,3065832713,2875919752,3010945049,3021499918,3024589309,3027229185,3026057524,2899839809,715179281,3010756928,3019196645,1479964616,3000447876,3004718031,1885809247,2888350852,2914482504,2965448410,2970699767,2955739655,718544544,2921805760,2919016657,2905445368,2652237100,2910367478,2809456480,2875693786,2871740511,2516045420,1660947492,2685514768,1158208056,2859630681,868227194,2882589001,241589702,2872071181,2813788434,2869509590,620423413,585085181,2862923935,2790131693,1932169788,2612861398,2610445908,2745947391,2823144815,2389476879,2805838035,2792681082,2562927040,2786215300,371600401,1380641264,2779472590,1491562291,714873343,2770300529,2212978545,2763380170,2280152007,1868289212,2753866231,1110772544,2748553527,468990488,2278099919,2560416631,2739547461,2655177604,317290572,2725967128,2635630306,2614881019,774222182,2644174948,2662331015,2641325506,2580908250,2565496445,2596537293,2557381789,2584347485,2484353376,2582998205,840754592,1544899866,1895689316,1153988372,2470154432,868369057,2412955865,2429584900,1265530039,2385898873,1222386666,2376508874,2182592879,350599674,363677747,842584604,2340442109,603229228,2335976130,335538900,2232426929,2324529002,2214493114,2316125042,2263689051,2306187310,1646719104,479712366,2300009426,1419715968,1616275110,1358110158,383945220,2267261967,302268391,630716230,2246718022,1452458982,947063293,448575583,1920727254,2244227781,205403199,2183509410,872662891,334069265,521820877,100581584,1067612406,1370742733,597510759,874577437,546497318,2167606284,1955085607,741045446,1606403748,347463727,2191156519,2173156830,375269613,1406393688,1463598486,1337894048,168832933,583115961,2148080113,1370814535,2147530089,96894835,1651508305,484314355,420420824,383926800,335106812,700759619,889608402,1917792038,1206337604,1885193449,1858822615,1408785122,1861472682,1836546494,425501451,812437184,223900784,1703579245,1548909121,1634219334,1708399009,1481160200,735467252,1695591972,1086875624,1488007344,1486816568,855542682,529912230,360363708,1670788585,401723173,1643734590,1242169860,1623927978,1046579372,1620898950,525676581,1402564386,559945782,1569051642,577735964,1557001008,1390464404,912830228,599475901,631174619,403815200,1452764802,754339201,772269240,1470708414,1126841628,842568494,1457569818,1455873164,364289387,896510744,1150772300,886475192,434412972,1420930452,533699847,523700580,61122501,1237548444,1368530137,1314191496,45211032,1293026455,1086127321,1290127711,420109193,954475044,1275929268,103216943,1276264543,1273280227,1035170096,1258080836,1237014985,717999140,535343911,595680757,559855065,1161453546,765023131,760189860,382323922,1173305850,932827838,505332791,744408631,1082962322,1149107078,772416170,25346903,301693355,1025595949,486164268,766730130,1072635691,618782855,1061391289,179349583,259522605,479101998,1061502500,273041096,1049205942,1049037073,1007961871,420575236,1041318378,870837451,497143442,610450663,868931995,514874021,380509965,631997369,832247005,453074631,849027078,565095675,999738648,967296990,997544197,151638499,171336388,900431220,19523272,179260171,354722127,465883445,600435635,881034259,958289342,497285618,43633689,733916820,105583647,271724439,729630278,915793999,564138745,423136699,911483658,538446905,446852436,426930715,495658529,605881150,518027098,354566882,729771900,718058438,600705246,543723931,549545378,725152081,900721945,899117563,874590702,849804818,701963190,390350439,477359392,829190736,637230474,576810396,792824749,185834522,739984927,561368515,799569912,175639582,548167556,768710792,707945521,754134428,361965771,703484983,559816987,265581184,592059854,630625114,264549785,620166887,266896420,598936762,564976471,439521403,221043701,91840574,551462865,547938235,548098535,543951867,268629497,474478727,434626426,537471037,511287951,533658178,328676455,465851631,477858229,371599670,292705408,380632126,255682378,513366399,389684659,451145856,446707181,256324713,453620930,495997324,409485515,475244856,264436982,39072551,165768296,430250679,355742289,446692405","503648102"
"NA,NA,NA,NA,NA,NA","853442790599950336"
"1446033856344231936,256325021,1218133859021148160,799228634401738752,8142062,1266457031881392129,1272238750517559298,111899910,853205265084276736,226040501,1357536320,1273975664,990422347,717442885,313831618,108239650,232866639,217300520,40885516,179804204,175243358,165778778,44863921,23489823,80169978,79751944","79198385"
"1425060219210526720,853294335709728768,1265452302,2234595710,718345447,1726298028,3306884360,380960592,204367432,2903425226,1098060560250204160,1102604345692962816,1057100627401236481,2402746733,1046297245132443648,4915494611,813117122230394880,196988169,948170197843640320,931258167618662400,923147990944108546,912246669617401856,904670808500342786,898639860747051008,887535359872999424,2469853374,791393484,869541144614588416,865108482093174784,864514394667053057,859181244072042498,854399160635727873,830387693502730240,851325692641918976,850357354243739649,849180447112286208,843414877939126272,771243635006246913,2807112584,787013421891891200,768144855830757376,765975811803516928,764528282700316672,764157181054881792,757995126337708032,2936883210,3146273744,354994496,715931715164712961,4831363939,832496701,4357528032,4341705612,3076448750,2995678332,2900661798,868159435,989182093,2942772751,2937125155,2828931494,2919395904,2916346272,866476236,2901039463,1039211952,2775829892,2597659592,2594371032,590626908,2476992494,1555820839,2318672641,2238511412,2148359648,586632295,437375916,1200911983,1722311534","1349086536"
"3057066602","3228938726"
"1467708901021863937,1377662002382974978,1455787676028870656,1400653917986377733,1363826133561724935,1456122779514834945,1468669481660698627,1452292541181747211,1423068859259576323,1422952196115767298,1304997749058723846,1449000598867791873,1390006181532479497,1382785739256172544,1456280070624976908,1427103816013471751,1455897884793131014,1455695379928862721,1459728589813796865,1301762835681366016,1416784622520872960,1350164670523564033,1348388620755992584,836404889609732097,1326975167160082432,17108626,1057100627401236481,1383405487,26917370,837890666357108736,2840752771,163728504,793662130524258304,749941235423469568,725508733317484544,778692419000774660,2861656295,2347466682,764791870472028161,730144678088192002,489919505,705637927527682048,743851819609260032,3833993236,760136930,118812753,508681320,4313071282,121275902,725239091210653696,720528657433935873,4407591200,4375227014,2382959678,2180504852,4050837612,3522852255,3412167778,3370094991,3395570272,3394002389,1646129563,3107690634,3084075101,66341512,87383104,76391584,15582857","22999721"
"NA,NA,NA,NA,NA,NA","1006768494304776193"
"386939646,3347693823,999233474543304705,1405259995,277385775,735638485,1161524139439665152,1010936506427543555,735649130,1103278847825305602,535660803,282486425,757923778013851649,606727278,1313001439,468201322,907181472439816192,314602258,966992571926040577,3314800455,966083446937456640,4915494611,167322642,964017730000060417,275036524,1030788744054489088,1003395658093645826,2916192759,986035638037196800,987801660553646080","983273231711956992"
"1448302819694370822,2891836831,1347739293209354241,1319832878365200384,280570180,24873963,1222133001154285568,14073093,1323595668,86021999,13204002,12151932,1142272378300297216,157920406,1137732507560886273,3018841323,82364810,1108961192792322049,1099609508228329472,1099007736577167361,990299601566564352,555253834,278673907,77437628,217755581,903648591020867585,2927887992,4871256003,3609950717,3515475621,4065255767,3898246692,2466067058,2868876800,1877293308,2951564737,102874187,702985536,85556916,834556351,70114960,78610867,458219432,74675930,74735637,74653686","74691972"
"932698301694136320,1341030297706618883,111341125,1350846564093161472,163105796,1363147156945838080,1284894591926390788,90694804,1314561321061449733,263781046,1234531587997536258,1041500469640736769,329232041,927483511753334785,173537873,77747589,178430221,1052995553087430662,1171887551986245633,1201897667468681216,83128968,45598113,918103629902630912,71939745,14520102,806967169057591296,45698608,1147693272036446209,1002756663756156929,1666102992,1094645174263861248,78777733,986447831530655745,1086788990068506629,272298600,294127033,20509869,743910753770438656,61516341,114272818,1537090562,37870719,920530344893407232,287455827,161178562,952317247778906112,1055621264868548614,845493006,3004216839,1030917851744555008,228040559,397785465,381556154,19865869,825553682615906304,1027382265431683078,1489703012,15753306,60631621,68036460,89709482,1726664881,991061171959750656,227519007,80303892,3165926515,51287215,495543416,183334471,3374431174,82797306,185449648,917663680220852224,876782900859023360,115168469,921437521996853248,833556751186292736,234086009,64595550,72925585,113255741,207351047,138509803,18430394,798362329817628672,109126632,148489972,145066729,746377097849933824,3660359412,2824728793,4246961535,398126214,2411505350,3287743296,369912804,3216486729,783132476,3175945475,3167647133,269649145,3116235199,325799389,832106082,2887612797,3005778750,2973107337,103057442,50766281,2763543184,2771596934,105326654,2544131754,77151438,134660488,333743301,95302139,2465182110,2409811439,770739818,164380149,84209526,2351291594,320982983,2336014302,45647839,1563331952,2177074208,568746746,1924538580,1663800493,1684568815,132257244,161450707,86761153,65111138,371037949,181396987,133556315,1128522992,452700593,1304737320,772830108,915981037,1198708752,1108164368,195558029,555688038,624854245,582185202,104063039,966971318,273687705,78096396,879523250,377778856,187675727,625873835,621552363,188957391,108079750,103655343,801467588,210165319,43720074,179299729,770901302,738842454,399017715,606039324,257413134,59096356,177834044,141791518,589567212,182048246,23029029,578313391,555536131,44732271,106210043,281605343,447430886,400839939,425455911,419038392,414541182,154594673,147389068,78438267,414250924,414020419,381649529,405787982,51588024,190670747,372506647,343061455,382843206,370534791,174273689,237527408,248058563,152825153,259462943,113445938,174837650,42750158,313707584,356423193,333828825,353959007,250488870,153844395,99180743,324785444,201383331,313410902,142498143,298908582,237110428,204800078,68598379,239157033,255335459,210370230,256817615,103786237,213141486,245208553,103186831,228769967,187272385,208203223,178091352,173966266,228970113,218899618,221765484,187283799,147092859,96261105,62127117,140468076,184236642,182464272,52059536,99241856,32645746,113467354,85166775,166447288,154611040,71161095,156534119,124808159,158862961,52295840,65757174,144231152,138100864,47499333,92316776,57787958,39491220,92610776,39015150,82933260,129952479,130275468,49517003,104523460,104020443,74921395,84090055,38606945,89876805,107115052,90286990","112552428"
"1316471676897501184,998984725757767680,830965736,568864802,189319119,158294151,147451838,189033197,138328477,195043678,93835641,163879484,62337447","95012409"
"734046029939499009,1271191213799026690,775729621610278912,122013164,880847910476193792,2255289246,306845713,234815773,596212574","915066717939818496"
"136872147,1870336958,125567169,214209091,923647731939364864,127122971,593236968,932415868914384897,884251974710972416,746513462,437754918,114944964,75034195,746395526673793024,4801148352,2213656542,4890882100,3453695714,4422657379,3500448433,4247834954,65835372,373038785,184170464,1274437603,158534524,192410714,98668710,2361526513,1887651468,393614236,2764686901,153253995,2610297343,622530599,120315125,119259340,270219477,78115406,196645362,299378472,528803990,2439216852,1603880209,210192790,1663122086,362241828,236939588,870063290,262959559,533805326,130055465,352729250,100009228,408665128,39297068,85643483,1075794426,180573856,104725939,134343834,230076140,154407713,313663668,102710200,292404739,21230661,545393358,89558140,587748564,549622166,61021139,180571907,375739891,146112506,268972222,90302112,494407148,208225474,466483916,240326952,97826872,121283593,192043779,123997511,445212851,287632230,267556342,145484834,111220469,16257984,98542263,410091513,166060372,182779566,89006894,148944244,157427624,65410308,6648312,205003765,151535375,26615287,36402379,30017240,66146203,214228477,41168098,235601926,267449609,177054839,86230616,306588135,44212620,304049879,303654422,263201357,160940242,299384275,216441466,117641821,151915178,130044344,296651868,14313180,150784992,69898844,66529982,280352448,31420709,92543756,257701627,270683932,174940655,40993629,66891937,41442686,100368293,57420606,126354422,115858736,127910581,45618126,255670484,103316694,134603954","233797613"
"789365005594533888","740225561365090304"
