"user_id","user"
"414901691,1433490346084904977","1490068631849422861"
"858802232321617921,970353855828516864,1242898043734802437,967395021451341830,740638076377137152,247788582","1489300068326952969"
"1438969986140282889,3061733839,1472902936510582788,3045534463,1400257061817028617,1129959193346224128,1305534014783193089,1447640279113211910,1025329975417884673,776750677519372288,1110423944,1221332619645935616,115068744,2580257004,1313889698302038017,741085589441744897,1229493687715016709,1378214771254652930,538319374,1194217721145307137,1168227245338628096,961698941065670661,281615444,1412582127619776512,1264591928424792065,1265296021292187655,406519417,1391883281679929350,2823399134,1104150014778109952,257657345,4905816724,348474574,2522986509,2715364239,1014413050282168320,147264569,197263659,800026602163867648,2805372078,947598047923654658,527501378,1117084594761871361,1119725799865712643,314227056,1210962502667759618,2505377274,1199960691685371904,92239438,872880215428673536,3229148864,291150314,864796682755735552,1175295772914593793,1035707505505169408,1169320501199691778,1167487657464815617,3310113835,1165907423246331904,1155589875460202498,737754607,716939291230871552,1060918860663193600,2837210550,974271100019462144,4204965023,1120250273673437184,1108496871100764161,283894450,719583391709011972,426820411,444053493,401546407,1089269914014232577,251596955,981464436950077440,1026870513040351233,392950027,719875529789280256,753500332949405696,780473538067197952,805520007560044544,1004601603096301568,611027081,1004312138847047682,998016443752075264,1000185945633755136,1050446238,188112783,1034960328,981408303048781827,921454494868795392,978614849113649153,969917424823930880,963900230801547264,539463517,2828490769,340389053,934825152671571969,933362036326785026,930469636059095040,266844855,919601831415828480,861480461960437760,769226521647190016,3169223786,301935900,359160559,872227518404755457,810969101900414976,934499228,485049318,885563526508576768,877421888607268867,307465737,870584888671567872,870273667812536320,862972222251642881,860983816625762306,845677449623031813,858786918699589633,855815418224795648,318672728,856273293158084612,845586683592658944,842364935355154432,850291868160204801,847795897215963139,2254071167,840553585863712768,830013074463608832,825389768028614657,630124070,827685902365241348,1617764180,725613678918270976,487375823,1484567910,822210808637784064,804275419763580929,2826291132,2677681976,807932911320178688,3153053922,797015523166978048,391001736,1902460116,732682371510751235,553719029,431875615,3279042540,3027377504,767271100380286976,2853094394,4853430389,759198752720691201,758129973270081536,755733979882463232,420270667,481425406,708329348168859649,747678639026765824,747611764876058624,3321696290,744084475152306176,743944628542521345,737597827136688132,765799789,298726662,453184288,341016636,2307912266,327683194,2507036019,731217203433967616,4786221802,730189794882560000,706506974196850688,341739878,4571825981,2402270289,706537047897595908,719214868197453824,716550485222645760,711880545257562112,718460897371504640,709393535305437184,276576651,317797868,2271154679,713694235497799680,1320217862,700708337424400384,81619672,708199646552698880,3267388280,703919066612953088,277521207,4873146256,695670507572764674,4892957435,409441439,3299980374,375218181,4863005001,4867364452,1728669367,242898604,4767897617,595824351,3190907498,390190546,127546954,4299290655,4277405387,4210587233,238579641,3823459092,436706817,3299600094,439369226,241456746,4051417694,395951322,3631132632,770827358,3871208817,794873238,4004160135,3959249354,2890140476,511065333,539093777,2840590878,450092226,426499747,3699862876,3414887025,3415922621,3297467670,3324893089,220661816,134552452,3314198582,3312465912,723041064,1485763627,471150764,3214632310,3350994291,2396673018,305194887,463369751,3003780218,2985347754,3137949414,3223473295,3193295162,3173071908,2795789587,3160149361,3191604125,2681171629,2678497782,3106636958,278951840,305885053,3127872476,382656337,903277315,3130753577,3120780726,1515004056,3119335233,3108508705,2418171296,2598008906,712772003,2595475188,3067092428,3070835296,3053149813,336731725,1038061146,2614830739,347563861,3015595000,2962525243,244970021,2756125542,252899235,2931464863,382687582,2931940400,249051516,760040378,135905992,631384960,2650795700,113998888,2809941438,283208354,225436877,2620642129,540670588,2710203550,2338257022,325552662,2478166959,2276871700,2472610367,2573951341,379991258,1330920733,2500434380,1560928658,2486542072,948183458,2327714788,2476079099,2426775641,2469442695,465493556,1904200699,490009205,2478167123,2433555089,1318328498,1373933413,2186021174,2476689609,2189000326,1905117817,2223094011,2173709632,1927583851,2232609486,2220578792,2431736797,1547000426,1357444548,2478120713,2351700738,2453793028,2209004199,2296949152,2476195533,2477278438,963995280,2478048047,2475658941,1713988542,579444466,359159599,2471798991,2470214435,2438092154,2476631211,2450219115,1276317198,2440138431,2478254979,2453273021,2471310363,2478083637,2195121451,479980940,2453618241,2467302197,1435151168,2215887245,488777988,1591920042,2347796363,2358183059,2473853165,2428467571,2436040906,846170132,2429369170,372418398,2366379233,2354060865,2348821137,2280332609,2330865028,1168500686,2279190611,1320510073,898253155,366866924,721189505,2188371172,2225589153,2263751561,1662245646,1006193862,453125563,2232620646,2209477617,323160883,1907230814,2170754763,716678206,714181253,1096782025,928422782,1547664122,540208346,631343533,1189186826,867098436,1408233120,1577659226,438635887,1571659448,1575897300,1572954806,1575510054,1032701408,782372826,1066647787,1512697945,589029266,1534833330,1575490410,1530969422,300349557,420625232,1384171615,1485457807,1415827964,1404112615,1372619814,350850669,1316192904,479956631,836592194,756746564,1247974363,1119941660,1254484358,603067963,384056201,737762209,1189607629,1257310314,401207211,1080734964,1052751900,890143584,1064898349,1244387018,230300699,900722461,1032897199,772847810,1256017447,543697056,1122481796,897817015,560376220,920888250,944440920,1253378846,1219676750,1200616363,1254510474,1245365216,933707611,1219998900,1013598606,476714272,1157119938,1104869023,985118773,1134411109,484857520,537641326,1105267566,820981440,1053518562,490610515,1107829711,404941743,537461051,996742393,1019212068,998891347,954161059,589138913,936462536,391115212,907835262,620117830,891889315,831818138,743587525,376332768,850913497,292255921,761113171,394079736,819909846,599288519,303968975,590242692,761712068,432765915,713124648,191719799,721545738,525504099,365746614,607700995,615019235,624693781,321618814,601869594,589443030,529640898,597360602,527598242,527602613,527604170,527601226,527605766,527615371,527623525,527620879,414892469,354300146,502164326,250185326,378518637,541848177,403816478,488298567,488512484,500338788,348273237,283019058,337093165,493358788,420717373,356345332,481459738,327710978,463996815,324082895,452427487","439265055"
"103183975,1283067840858185728","1283394329877200902"
"NA,NA","399284510"
"1417783537047068673,1485768761462374403,1354154202218389504,1243596183437803520,956224296728317953,1426320572468838402,1468471024324800513","1484465066997022723"
"340412098,516387779,929331669181566976,1382676132810604546,761990783062900738,70113254,845045154901741568,795059775394512896,93102433,231027202,1389693055016443906,3260249913,1371065450977693697,1089993271970054144,229220134,239798864,1374682100134146048,1293710298084409346,236543427,1147206100422451201,3106173437,1288865324855693313,1033387008771743747,32831525,783562200,360927549,567354840,1181254870952755201,1830955082,80680380,1178332017072787456,366003951,72363390,983048493903294464,236357038,1323200323347951617,344411934,1594077277,1315775457082716161,1315762897675522051,1311747950322876421,217202913,294575463,3313995072,1052696029764694016,466827910,2907294772,353586458,933734468,1214380646229069824,226816967,413445364,1246055965490925574,1864499246,437329986,1245518714063204352,1244429190025351175,1238160249976164353,1225711338879512576,183709692,1029815791049420801,1211073539303858177,1207144047946739713,1185165319184113664,216238297,1187537052050563072,1204129749452435461,877832734907011073,907033152,906637951127486464,2344148761,64116679,25481625,1185685610108985345,959816893,114891293,311062112,2395393610,4450095432,2257498956,2341492428,602086008,342116389,254723295,1137009102717181953,1118175282266017792,331882437,175440740,496974235,2476676692,155755299,1062406438121807873,462511823,306175522,548040360,50834343,948355464722436096,969364904531685376,185361470,966647061092405248,176089368,116718752,937769982775226373,4921235499,862421804547289094,2560095659,3033168051,586809111,1462394574,1115434064,809503454481747968,71534277,816701482951131136,235761799,799341274734141440,257197498,232887749,2968119958,755240387174858752,178033987,3471110481,708954802198323201,4633504222,1311866173,2483232536,701259803134275588,738700183,134837053,4915103261,2544989188,481349251,4690519812,226253641,4277300681,4157332102,4067625514,3162720450,299394478,554581503,3299550275,751394880,3273815605,3365273776,1282060117,3199404634,2869277911,1479946244,1963689738,1032699006,3174274581,3152362288,3129386081,2937260656,2466912048,3119670189,3116845222,140206268,345581928,1913661571,321488899,1169728212,1280243953,1124684436,2286015018,2743789047,338619095,1502387964,766180903,136097918,88297217,2373807873,2723693979,1301181284,210991205,358086171,1364801754,870658538,2365911506,2322628962,172017584,2182175510,422778160,448716004,185651534,1902304766,2213962850,228515566,601324160,443716589,300321457,271573171,1328222616,227794430,334490858,566181596,186455495,299813147,1506073928,57156119,404865925,66166543,233520366,534140295,227344629,333032167,197459931,287104592,1033994689,435702991,1050912548,183223445,228416328,961916372,436967772,891998270,966659863,366031310,955256724,735660918,288127157,213335870,864393985,359642078,848105958,231451737,288164355,173281263,191832573,292833256,345256335,361501263,864291804,364140054,236582986,241979092,47113766,148512786,241518294,228358476,341840446,228523326,282697226,168603264,775447224,512369711,102223886,225960447,563617317,370383904,753552433,308131383,73975164,239545914,179201722,71894809,240013185,228146186,230663941,351740121,289064100,238725417,57383382,50676314,434937745,608467506,359590212,153478611,439004400,229047175,172534674,185934609,346197218,288218054,227028708,188831265,269987010,272943476,299833029,346723096,451407752,187375651,158844750,314814661,230413447,68931311,362434543,191445985,171556527,361270550,235178008","61810448"
"1100219552619773955,1313367899587792896,1465651967061942275,1010041878,1148185976033947648,1329814375239135240,1186184831912333312,1123992425553432580,1092698715842846720,1488100527846019074,1439823947562840066,1390885381831159808,2712200551,3649181,1396515332416688131,885529884432486402,776443610786967552,143556525,736491951533346816,809048898,8472272,971866385784680452,236550250,861205708376870913,15465372,986993780585783296,1309419818668392448,1483911967236829184,1561758804,251782853,2792208925,1350344921945956353,600786131,1469884009882681346,2474936167,1111240911080562690,12486322,1370739485403533316,1412640130569998338,15201649,1481044688773730305,1243602417557450752,817781921870647296,1480381721388355585,1387055418921287683,967304080094711808,167771451,1610274432,946955511689351168,993235330164776961,1100827067115950080,1140295447,4270530553,3275767562,467159075,1421131445477679109,1367036537943244803,125215282,957321703457284098,101186457,1262404982457815040,925604140952227840,2876407331,94153894,1174360483924717569,1394543926053261316,14659787,835794296477474816,636551883,1148669001406529540,112397219,107998191,808214499404681216,766613415410282496,16067035,4718982722,147403107,818074117618434049,1254362993074122755,3985200867,1405046346608877570,881707338695979009,733411267860267008,1087628292318883841,376478408,2277450685,430684733,1164477655552528384,40932559,614440298,597484733,1328561335,306265390,4688205684,4924061981,1151099798,46604733,3299730071,1293932790740692993,1073388199,2610120866,808448594,88370361,1375675711,92808825,385434503,3276326988,1104651347209576448,987398330564202496,2842653323,441914762,3901751233,2174482088,1259404234921041920,1114428611228880896,1424638424342880260,1123635067446812672,1085578385974329346,439895013,526825068,1534881398,463256631,7603142,986511818024800256,2862561622,1139496180344184832,782121084330078208,386538440,1275090283743436800,1328411623195770884,1372614607664160769,1359416404831830016,1315976439083290624,3248981815,1370273548787359744,1420613134687997952,709060621,1410590720683962373,1269464496445112320,1326190433278459904,1339654173856571398,1351660619083214848,641003,4258757652,1297210826915553283,1394945926834307073,1327107610198249472,122445081,216710864,957695970,1441636795825811466,1387616340177948672,1407561603839496194,49438971,1005461482996318208,14866124,1371680275751665669,1202570753129861120","1455517036524756994"
"268471590,938725226472493056,1224705177074225153,1457246357891076099,69755180,1467599318802702337,798677058209677312,889172556,1907797844,1466907079860527108","1478738781373091844"
"1411871969155239944,1271120808082132993,1357136308221673474,1336642838671618049,89474398,1090045419688681472,1004029501943078912,712986742664597504,1693499504,1551101437,3067742895,859826936385871873,891289922438672384,875730706617569280,3602619915,5548212,3014276171,4618323870,531281980,3776055261,1422298622,3303068445,746058163791728642,62563536,4912826887,2463385334,4316131769,3818029163,3406681403,3288604616,3282066410,3355453701,3305967700,3228351083,2484540499,3028129631,3003989621,233722930,50003448,2310795391,381446682,2612826390,289314792,2476153650,137050122,537547520,16309050,632939943,29070778,930442075,1547327557,233052856,1071186661,971346140,266161444,911296572,14554161,538734546,474023745,512387339,512520793,73654302,352106853,356777807,246427268,22328404,330084707,46678468,18951976,183715475,26668603,155782114,89490434,123219407,131750700,18426303,119309993,121555276,107492311,106123073,41443249","36365539"
