"follower","user"
"491617991,1236306454140923905,1374324752991412227,239731873,1108658605258092544,1526425316,902280493890117632,889841398551162884,4832399170,228223873,1864154779,3251739512,764988852876390401,725988355658248193,709212875739373568,468944972,845518130,3260962015,2956192232,2517045313,131673110,2395759634,2215324273,2239980338,35715472,565403908,708700513,337182304,11841052,7025112,391031563,609365245,281050094,18382497,19744465,137524717,46879734,78538036,68843575,66657741","62668599"
"NA,NA","2382764930"
"1322443941464035329,784699590025019392,894124059235168256,730122876406272001,3313994918,68943733,631106993,2423642785,3164304078,255499415,1911009697,816267679,628095725,164398243,68074136,270763876,122886508,136721432,106121357,104676983,103816756,92992073,91626572,87601338,87120636,85799962,77201964,70636279,68609685,70588783,19297687,53015052,52651183,47306082,31429918,41007012","38681988"
"839502655487520768,2446848336,3181740368,219667972,617142874,741886400,96982495,1326056887,157699448,16034244,1409154270,1368465331,323535087,2363851124,2213054796,2402384095,2465696612,2465531918,2367788486,2429586133,2476740997,2352835644,2357870054,2377636812,457118684","2646559968"
"76212432,739396564091686913,1294865032015224833,231928618,1188612764220219394,929415886779293696,1044598658845605891,1014212906,247692834,838164387902930945,808691129600376833,764700557043007488,764534276343861248,85342828,725021406468149249,719803123204759552,42818205,75279976,297304183,308226281,73043365,63836805,755502492,55801644,1254551767,3065862161,1549780448,3168945810,1261779805,3071009425,2752299252,3035599293,1244211384,148233599,52719176,2922267373,2880219405,1359115568,110389708,110428017,2581531932,2664834764,2493046621,31104443,1489737379","133222749"
"351002610,565105303,118327263,439698690,1147039082,2347491690,2214722876,14748654,805002012,420164300,505484712","401856159"
"1356126135315140612,1221110738883895299,83280323,84334121,720632468332785665,1034998734537482241,405855702,617248486,1010016551141978113,1008314208679858176,967889215781523456,979992352273190912,22844290,2830198794,760949523594240000,250699956,323298715,180528924,897027529936052224,113147095,2271514356,773818634,844993582058668032,756057222883319808,775168703964983296,263888403,3301511784,758612914685243392,2492100590,787854890517336064,38041101,766066985130139648,1669486010,2896649198,43809519,1886106211,138141805,716189446471684096,2437870849,709664352555520000,712674158698708992,1906524205,253069213,3830174114,4567159816,611915896,4749383209,822669181,3960220053,1634170213,3380773169,2179290382,36471654,3598769055,122497293,2997403410,2765604597,4008131925,221533718,208139326,1314136262,3246502870,438548289,2424127476,3307219843,231094495,825224582,41629150,3345478521,2452872000,2218734446,3258290484,3005964328,361840104,117852083,115040849,3057490215,3112659443,948497712,3109403825,2455703692,875726040,474742879,3024470924,2521750110,2459709067,1370458856,2998813106,260867079,2420360689,2948596762,21876788,35821009,16874598,2908768960,602108374,2320799292,269956060,2483873804,2716443245,345804282,148290635,2903156642,1450172058,2592092292,791926417,2844873584,2838382168,1118586594,877397508,89034608,2515669807,2810832665,2811057311,2363811685,2545393453,64368291,577334636,377645093,899054899,2711219832,2282200196,14388669,259082296,2774224253,2788659817,1330085713,2812024254,2580868489,23251100,2572739550,2358154416,413339745,121230729,2758933841,582281778,165767804,273627450,41190072,317871000,2302222352,891377682,2783465922,335523711,28355209,539087260,217196240,192081069,2745280881,606412013,124876815,587557105,1009927944,56679995,1094020362,323298339,2574546301,169630896,96842450,11022202,2717435046,2601800966,1344479238,444940567,1349860010,2198495090,111092144,858380822,764339510,492533592,403482871,39166602,1631106758,394918161,2296629799,128499223,1952097830,1903823016,582680152,215523239,39313029,2614341420,51473146,1920026371,2161112514,91095909,1100251,28083204,2700085934,213811308,937591262,69080196,2718850545,2704318756,2532658868,103063563,344935839,1615312428,1967922246,2244289387,2562079537,957651199,2722368335,25645731,179648501,12453702,39346748,2668028982,867202718,2576805164,22058163,458077401,1886479344,259097551,519708224,33830328,455764072,25001634,20239312,296310534,440991848,164518290,21251858,17218848,301691809,33026116,304155474,125470873,201539535,210235033,41150979,278589479","77756340"
"361934604,2892235384,374669566,2441764171","2613315416"
"NA,NA","19952157"
"620461707","838079618"
"2856643128,1356689783863582723,2569428722,378552137,761520176135364608,295664162,986699766,1068734802012983297,2778221374,3287869802,1049676597408628739,1038821866557722624,897882698718470144,123210750,1018562357725974528,68822182,389545264,981783137129844736,974878807831191552,973580878910836737,153338498,2980161856,256284088,33923443,938075730788999169,937271335,852435894,1919250823,960616381,288268640,314081168,775376210243178496,3351804088,362350275,218178999,238845319,801677673994952704,161419043,4760417352,757444141466853376,32867528,284904131,4444921094,1513225166,73043365,2784189162,1475566988,3435988043,3315016291,3300769492,3404422941,3300388682,2545182344,2272995630,3192827882,3065862161,17731466,2752299252,1898037085,229763385,2933119718,2927765180,2926700461,133222749,2921341338,311177418,180766375,2885899560,2875252332,141098698,110389708,357272985,2697651938,2485168585,2472859087,1683440768,1413227418,633089837,101463009,296770011,178636211,2423870857,2418206342,87290789,45548831,133970963,1887883820,406878779,262206355,73311849,144754498,394710122,121870828,69252167,55535820,1329732750,24142783,541864935,83420275,1266367914,1229253230,141271879,589712837,1055709186,140932898,989418240,135114281,385440933,55802961,597462618,589614047,254078598,305417972,276171511,146789632,95927779,340447918,358043293,254536954","142602300"
"379222234,965711996,2654387325,216814577,1477196774,4884943335,3431794023,3343084744,3046704737,3143558236,2190544968,106416497,2596136365,919287925,339007975,2469040930,1476277286,2353303466,170629474,292231238,2174642828,1625120426,69597515,1537046736,1521664369,1272932774,83395550,557631917,234663495,609047904,1376765240,230786330,1275847080,419601484,518339181,334754256,225814588,363121775","232699268"
