"follower","user"
"1460010084914712576,595608640,903904045,1480173628113129472,864928585001435136,1390645588862066688,20252627,2251509385,4909855967,2287378164,3254426133,14831523,1238687606839205888,14986702,14287998,1291413166413553664,1075855880472555520,22218859,370963456,75123430,4655170277,2299992624,1277171365053755393,344502770,1054925184325435392,1003882467328233473,4338481,714487008190717952,16037654,980758763895271424,40426297,744225067626803200,990552499693244416","821571526071697409"
"941068074727460864,4744404072,1371573680,752424677461467137,149804033,1335884821,2190437456,710738272574509056,2583242053,2209826641,312046794,849497875,3316517844,2441349342,2362462657,3265023523,471813873,1045535593","3250475504"
"1051466298788597761,2997186625,77921814,117494048,29426907,747552186779975680,720136117467619328,707548938291716097,3899264238,515150952,3307431252,3304432970,3298204694,2323885232,117963342,3273686460,1184843766,3252603150,3252642146,3232680684,2456558366,3252932074,3192820214,2382801276,3011235264,94311718,1680713809,2988837835,2909353932,2658853634,509043212,2840847944,333210453,1185436266,129110710,2708645394,1937769632,818002818,1465409232,906442226,1642414788,2529120108,2522520439,2455942608,449693151,2359520077,1525101596,2446473013,2443960740,867741240,56968225,112235991,769599038,2322877508,1531236115,1659696396,118900723,53892502,214843846,1871322444,590857490,1550471856,163177536,1427264634,24727891,370611117,330570935,866547643,315291819,891550196,603743080,500540874,796071541,545984528,867472614,371354336,864868339,431330412,418933118,381477872,312801686,44063189,162992798,125240354,119351191,94294503,38632465,100214504,40069047,70558387,66673710,67287947","62216940"
"892834745100492800","893675340236640257"
"NA,NA,NA,NA,NA,NA","893594413334769665"
"NA,NA","295823474"
"1377345900092121090,1252045286798577672,1380703701375930368,1316992143081172992,1375615540375420930,1372099139668865024,900469298,1359661936795934721,1333105353030975488,1266764436510871553,1206689256930004992,499374135,806777839,1236590484841279490,1234834271157850112,1132842170858086401,1196697607411654656,885886864556564480,879670591841681408,1126654897544364034,999549875984400384,1101863979595558913,987836367945240576,3346542568,1075917251746836481,1058744285225345024,1015147277537562624,148776016,1037027491653799936,1033339730639904770,2713819774,1030438305224187904,1012668005396824064,839704217182953472,974080270331555840,967960383100194817,859335075321716736,806832513037594624,471818254,891996027162472449,792398506338115585,880894644070092800,1223719782,843732444855468032,736370411819016192,865749552267014144,2885153330,2759282905,3412185446,347222388,777863979863388160,1417135478,823937767264526336,820158087860350976,793572819351195648,796888107891068928,787959759496359937,799913249126817792,179304884,771891912626302976,722460186317709312,764304362373996544,1351461979,758378068570505217,4847579501,722980815638908928,3763754955,3405065098,3366069327,1561960808,3107003612,457060742,17943627,607033277,2812182678,74444529,2172147800,2321615635,2528931780,185047015,2474022433,1474820617,334491505,126403768,2225076919,1677027636,221747169,536453671,1737437696,1733507060,1724015504,1719088573,1709269184,1696515506,466964721,1632394890,1599030458,555342681,180445701,1510477782,1400796030,1328567630,363714159,1256107200,412693762,1101139543,1066081225,16717728,600349107,279195707,554646440,775806324,768231474,766339190,740534347,407639232,543329530,524885942,3228131,531502664,459317364,368118186,409610266,40921558,391774601,390268282,122411303,61799505,363436908,7682242,149827679,357281749,352829851,296431571,243486684,22442220,283807927","198298531"
"NA,NA","890146844956913664"
"NA,NA","1025692260"
"2365779038,2172665630,900253694255616001,428402969,25168865,356545049,2149548799,1095741434,3086295060,177257171,1040745391145267200,1485433387,818579270993723392,253389405,817954774901518336,477391618,3089330543,3171888585,3151739771,3156922403,2992390515,3027047699,148496782,3021324962,868155084,3093379059,3026990597,3037344549,2859529161,2737556031,3030279532,3015193343,3026566577,3039260909,281389539,3000254183,1691134104,3045799323,227927175,435094988,48002214,3003024784,2317714472,2662789416,2995181236,3027031133,3039274283,2737213977,2602840537,2981726248,3031471515,172213895,2914752531,411111930,2333337812,3035685688","3021277664"
"90323424,1485645070221164544,1007967414515060736,706792626188582912,3551532493,1468193226003779588,1424684453826285578,22812127,1452718276883226636,3083498656,1398064384073678848,747538968,8453442,2485053080,1224340015821533185,1682944460,1038473413,971131457103155202,863533043541307392,60866451,78969930,908464283754704897,1347594743061032961,3179099968,574023036,898869630,241496609,1128095824473276418,783098774130401280,1390092311296679936,773641125219500032,3120026428,100534711,49062932,260828202,1153423486276317185,1368649256488296455,1217397873899442176,711001600567828481,215220352,223077985,1087680787615571968,784289617,26555611,2961846202,305445865,1163411220868632576,1849181515,1372911609216172037,17622442,901062071281778695,1364351711066943488,24611169,2984232589,490333210,1181748296395587584,264103867,1216393462062424066,1230288376206708737,981929532474183682,1229002096776765443,2553275942,1144175731477401600,733080678,1263569216847917056,1303777844133150720,3297775416,1305539984380878852,1294553018721918976,2975401318,1242566575636402176,1273759854079799297,248216566,14223925,4659065416,83987663,926000798970073088,810174496049131520,89187524,11773812,2385884246,1151704441,867303398823137281,829294863548084224,1267623668831653888,3233043343,55671329,1930411752,1193066628679815168,3064259332,334922130,861402506,1005935875556036608,231076444,2857529049,1253043895316905984,635202821,75351541,4541664553,1151597964,1109583787585761281,1215349655304843264,882135515021094912,3251076660,922676172357476352,1026490833065791488,888259082397794307,1059159219520397313,2924954587,726053744731807744,1176913670057545729,837280248,3018141039,220124272,2801042705,3232640646,1140644287354249217,840746981190447105,2723911694,1054158563357138944,630575581,866361973,246427772,1089876560889270272,1226853482570932224,1111383753975160834,1198601167439368194,991457413084655622,4181688318,3181704355,1179767860371046400,904754498211643393,1575191292,269506125,428940007,120160696,732498026485284864,1162613760068136960,19829477,912043204370993152,3300214874,3016057962,55235285,1195490791763959809,33597834,3677482875,955676293240164352,1204014874596126720,1202096551750971392,554687023,82097916,1075489141469655043,346719335,716694456897036289,2230904983,125773720,206732289,3893706740,136670270,1575883890,1181697559796080640,1191933850882052096,524368491,1181765492421337088,1106740859100413952,1133174126,257131960,2873721453,734235276625616896,781350812,286116735,410224898,1171342373395320833,705786011675201536,2923880250,807263870083600385,560230793,877173468,109914695,979644353097490432,1419032094,630270019,154864593,753960437637578752,3241805709,1070991086,796795507586846721,1214528593,245488245,912908737828057088,39215770,174809159,807092759341465600,988294582793256960,1110935125271986177,1115880604560691200,1167341341,2874803443,26261759,817780452102520832,3344526328,1322453246,2546761855,743934426275586049,899783769854320640,1099449128625545217,746788615951355904,2180025482,1057303533622575106,956123308289703936,1092114107896119303,4306903516,137908801,1271744666,16962769,573817445,266473914,32942338,808633423300624384,157787375,1031546969209143296,1315104043,3378033143,39305535,3098250995,224132293,2490180804,3952264995,203560034,17117147,948010010,875698910865616897,975881322290929666,1159739394,45794386,907975227749093381,118529160,2970544447,2580033391,738379621444505600,2191799629,802973271901798400,1000751363129839618,153368510,761072228028911618,14910772,20806376,3305337149,233620141,70487346,463249977,20789946,968474880428605440,743917727820058626,1266483288,604416116,737778840215261185,422388777,4181939779,735492571242352641,4897300665,907633336767668224,2253783906,84894851,865496026404093952,841193714429054976,2668610758,799512643878916096,785769249511997440,2364119784,2364126060,101732291,836277745","2148960932"
"551001218,463167277,1093401482,295807651,2397609890","881253348523081728"
"1395337210308829184,1343589780915953664,2363140362,91261879,866695676977197056,987735537644720128,357894533,96618268,764097056088743936,2434196431,1229049358311620609,602708261,1200487650660098048,412783592,1183749592220946434,1122886533437186048,3430010572,1090486040786161664,3304848706,25067212,3189020762,3425925191,725031957265059840,3359926214,546107403,1037699739016409089,965523329133182976,1005627217748025344,259959015,25396528,988454610288496642,991515992458178560,974572984496041985,935868957881401344,977387633218383872,951355892544421888,970896166505168896,1479483541,1674097482,819686333845274625,954344801767383040,103460751,948006014196076544,21360280,8612212,2883866727,201126995,2166077816,15768289,384524518,4362660754,4499607433,918376155908100096,2434731335,911012091640926208,4581971475,12640502,25683357,374663390,2811388231,278363505,836996924930736145,908634353722429441,18384104,895810186270650369,1395885954,216558300,3044644629,2766833754,871365649779523584,82495389,822132280097382400,444171330,901145498622603264,816303953839353857,748240617117978624,2558045636,896047543192367108,776841772227899392,18545588,2270102593,1361468977,816429566105268224,37376499,830253826674393089,2788938882,753353477955387393,888898964782764032,837296167750770688,3308911992,839480194087981057,45268107,716204683749097472,397707447,31465017,221403514,844537702267715585,2467462218,762538558930333696,3060700932,24205786,4065174311,871755194954117120,52263149,84082584,882524863008616448,746487545102376960,1104740466,882763911170146305,3378020158,1675979690,819846535135510528,782793044013686784,757913567161049089,2248186303,873128437040390148,703220155560505344,848838896163196929,848842193724985344,858910300023783424,835499056008953856,2196657985,40699981,729694305019826183,2447694686,25335555,873124401016840192,20029550,880431152003076100,9804482,3345344960,273661708,119412318,742155927550320640,758383008,57071520,338396329,811528998807371776,15153254,879444847748415489,474653218,778904697293996032,169613351,599980922,2549031829,386209931,429353603,3043804294,584237645,19942584,15088380,129825556,4221821177,2402689698,703727323,879764119796170753,1029995258,345049455,230020779,109836927,117627754,2653422744,808087849094488064,2170975604,869443395332132864,23468324,849652373735780352,857342231044382720,19086371,742607401,772834323493978113,1473458444,133288834,2274819901,33795965,2576704104,595171763,15764252,2876046223,482542657,98774611,260813669,3364434371,837541881500184580,847636484572069890,3214542598,24171922,852935854079320064,253306164,214096991,829412833117011968,63292393,1064359632,1674737485,305639647,844375462994423809,742874396868546560,707330865517342720,765266608667267072,837425232801595392,231577728,376369402,46181200,76332625,3091346691,2790151099,2220871045,75790500,825751978542260224,823235727278411776,32745120,267198319,816497092394962948,778448865288609793,795064877941489664,812634537918238720,771833622315798533,742166854752342016,813306390638829569,811705864059027456,811284434683101184,210684204,763074823065141248,809916692784615425,26047542,59634409,780352310308315136,713602659006058496,29890336,3010777026,2601784836,153335211,777266312,2801853545,127040734,804586267283365888,3148819709,806026433495592960,475282167,1623036182,370122605,804168594938597376,261497026,42318656,1135879028,703598221923373058,2198558239,3239262013,3302747276,2334075900,760089350956732418,726549538702528513,2321439950,117300821,796776539799060480,794472983360372736,3058683360,782652166833967104,87466500,132320787,469357880,2332624050,619317816,3729559521,4843461960,904507237,1450108184,786056116060823552,768521430585712640,4159463118,4764854778,2781179779,701958680585998341,1613632844,789904096413310976,2770892136,21338641,739944321147887616,712101404467302400,788694624898523136,3717835393,36499336,260320033,768478708076281856,3018300989,787759507912785920,781144745179570176,782328527823699968,4857787871,787452464765206528,2536632268,62869247,777933754782224385,738837622668300288,73986605,2800090164,704424538801467392,3517440614,785804250748182528,4376401653,39798277,785958765753425924,226662318,776488357253771264,2492269267,764442783994220544,781858709840334849,324830021,730507462546231296,784443405673885697,757245048765444096,768475706896617472,773164869721985030,779326532464545792,24871184","784231206275592192"
"NA,NA","754865576841928704"
"1340977832118251521,1667135348,806044369866264577,1526854964,1111440643044315136,1010094711904899072,1096389572630523904,111274439,1275912964915302403,716744871403528192,1870088930,3538770254,2726516197,1078128549876371457,1399365621561843718,4266817054,1228273371055439872,896099152974761985,1191056593476915200,845126850535800833,881430388467544066,1280142008070307843,1243726423715700736,3297775416,198796977,408089711,1464965267830804482,1360220562254135298,757255726553333760,1085796162,592861629,2748212566,87161184,705390315,713572595388588032,952606539881353216,14826566,1453327323768492038,782053188,1135614461685960704,1495403954,50623580,1389961515705454597,546949479,1313692956,1265891637194035202,1036902684106797056,206743057,1234620168375951360,1411115750023041025,2333045815,1417486069881257993,766330634281316352,768139450270486528,1332154654495485954,1150046363998195712,784294724660232192,1163748873925472256,1247324989,1430585126946230274,941678571160039424,840746981190447105,2929725706,1233116922155155457,1157329703704940546,3296780245,2152232932,1380109365399719936,1041052776,14169410,939701804643663879,4238037687,1280029832206708737,4301461,3245003854,253418172,1221932160916967424,1138496214125633536,1364806124269047808,1311397826866315264,14726106,1251539402716778497,263265637,1348600373557260290,1304489157759242247,1252411950274940928,1339028148646596609,1369380470887178253,1199517418466492417,1301911085671428096,1247319955713830912,164611886,3668122397,44687813,1225519983460929536,1639435098,990717732613013505,1071109865735684103,1343939195853819904,839139788846411777,1170098132283035648,1405259995,24344110,3438268011,917388793237442565,944385433152212992,272731332,1332949501229744128,352510636,56113666,1296555996303761408,167693954,260402270,930340880967524352,708944978861379584,3788912659,985735527990210560,433741920,386275101,1216947228700483585,2621989106,1293124325743177728,14112036,3959179996,1273467805283659777,764766888459206656,1282770115881304064,1289332900815667201,3321159693,711752354,19737743,930735783471927297,244904863,1694543131,95826432,1152591872650567680,135919183,34517460,1204818514814652419,368059455,890966966726479874,1839299466,1154446017485520896,83041905,831908983812284416,1182680179669422080,295337421,1046290712030052353,3160409743,1114917095429615616,868437693881081860,1059553685691342848,1110268109846466560,1272934138056712198,612420694,16431307,28654709,97727322,14911372,2962427036,258916913,1245219937515380736,1195940728448389122,4895404042,1241125617606823938,995458058397585409,1141782633317191680,716694456897036289,1023950367896358912,96855050,4869815675,182639019,1192510389042515969,71524168,395027324,1085720342671380480,1216393462062424066,1162212046483554304,413263746,17396170,2953912113,716239728077578244,702089336842375169,29000998,911769564500725761,799177412013592577,722692007651622913,2297684784,1240031151743516672,163434088,301341538,1266050812255580161,822067870096130048,1254948077825294336,738363248886566913,4376248037,369877186,81099811,3003692479,274345625,1055883888159932416,127046271,714873918,17993000,579143740,1228948889694113792,213320020,1126370028087984128,1251643073668567040,471102898,1131990795207270400,1182194132309012481,870035202,136744813,2278664208,2236492597,583843363,736451615020834816,2263849236,196942069,101561169,1027201792139042816,417085651,4116808213,2208123228,3394080433,1170153946176020480,948044683673923584,959838543739678720,1147160621651288064,1112587729538211840,253580611,857672864534802432,725777563235151872,16548937,1093725312368762886,759377589395869696,2949781365,1123691436,1073110857276633089,29684499,228422281,337230205,1002138961807118341,1207472398448185345,1026587344395100160,702531620922765313,833524636709183488,226061622,360876248,2913246842,142032230,3095980162,2148960932,37321213,1155205310560313344,1155481735225839616,157012781,145491188,3335544083,3372511485,3309035346,803520933172428800,1038161373451218944,2207918292,9295332,2252717318,381899263,785423243876327424,949284328315367425,1106708675320659968,1012125662117851136,15488846,3102522680,851870120,816336073798352896,1182986988103692288,3429413337,1082965457857142784,2331769966,33522912,884253117251858432,25655371,137662290,1965363350,212147661,913981622193664000,1034800647944790019,1093162619974942725,951247339611713537,859760747118821376,959233919819251712,22346518,824669300699070465,3147542335,2723963928,883544630167445504,1122469683632930817,1131796868,3948752537,1138100056739835905,951871664085708805,876274407995527169,3177366721,1104014045844131842,2788341922,1120932804177612800,4339874177,1186384783,752487999800094720,829020939451039745,20947135,1111201301420040197,718199093978406912,271197555,7876882,49155222,1099007736577167361,1049322131736199168,944390374201741312,929450964339306501,760629719201042432,3823047148,714594090,1096058976096133120,1083709113467580418,1400175774,900253694255616001,14624509,931728395184037889,3920207902,87624170,1056028689979396096,786979414030581760,180348189,334922130,798652376429236224,1049676597408628739,967327687277793281,107367723,50554535,246190908,260828202,2605680626,432662253,48967762,219875540,119014795,2571899292,3915253634,967384485925982208,256653168,33110914,2922540907,3452877914,815159837944377344,192524919,112316360,2842853434,402800129,3016057962,1012445933265608705,804020785090174976,18262382,508406174,198150177,3091829633,320994155,1663610251,2716076245,360540433,384089465,978906818591240193,221292469,199940058,2785803970,2522912966,1335579330,885758492,41860681,260730562,2337658592,945410497,1718766504,11424242,442313809,16061930,337041415,21131585,602152164,3876725353,615941632,1195496551,149450406,291265054,523648155,2707777891,335716457,378413722,84653850,2922364329,928301283034914817,822367881547550720,57187580,184543773,240365049,972746043686240256,3301202984,3289068905,180451291,3021794866,2417892751,179021691,2852096037,321731513,33597834,894164731795197957,246427772,914863145906262017,481867656,17118071,3257593736,721458419576750080,1137408992,17611051,800173462815809536,3596154496,200761147,346719335,567984843,778904697293996032,422388777,3139434814,718175074537177088,4552714514,14699604,29866761,2999992556","863533043541307392"
"1051294077151535104,924760121913339904,133980880,828347932386664450,776218372832985093,913267022,733200816123826176,766073598222172160,2501565282","3126383339"
"1036933804022091776,1041687413880287233,1142957979001446401,1107498836899979264,342698760,898031340662136832","862983649729183744"
